row.names,asv.id,q2.id,Confidence,Domain,Phylum,Class,Order,Family,Genus,Species,ASV
ASV575,ASV575,46a8610f67ff530b3f8d7ce98fe53498,0.7131445,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Cryomorphaceae,g__uncultured,s__uncultured_Sphingobacterium,ASV575
ASV576,ASV576,46b471fe0f8eaafac27b88b59d7e5cf2,0.999999717,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,,ASV576
ASV577,ASV577,46c3d1d74855b34372aeb4ea955e1f82,1,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Marine_Group_II,f__Marine_Group_II,g__Marine_Group_II,,ASV577
ASV578,ASV578,46cb7c194b3c786458fb8c91972835c0,0.999998584,d__Bacteria,p__Bdellovibrionota,c__Bdellovibrionia,o__Bdellovibrionales,f__Bdellovibrionaceae,g__OM27_clade,,ASV578
ASV579,ASV579,46d3d60f5d0aeddebf8cd3d24a57265f,0.781414685,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__FukuN57,s__uncultured_bacterium,ASV579
ASV580,ASV580,4718d6592ab4095535b99899329f32bc,0.900044887,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Methylophilaceae,g__OM43_clade,,ASV580
ASV581,ASV581,4737f045b8f99335b7191216e51980e7,0.760053491,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__uncultured,s__uncultured_Bacteroidetes,ASV581
ASV582,ASV582,477139e81aa610d61a364c45a00b8185,1,d__Bacteria,p__Marinimicrobia_(SAR406_clade),c__Marinimicrobia_(SAR406_clade),o__Marinimicrobia_(SAR406_clade),f__Marinimicrobia_(SAR406_clade),g__Marinimicrobia_(SAR406_clade),,ASV582
ASV583,ASV583,477b6607517b8650ffd0145082a6ddf3,0.70691759,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__uncultured,s__Sphingobium_sp.,ASV583
ASV584,ASV584,47849a8e548e8acf3b6ff16f68dfb09f,0.961826651,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Cyanobacteriales,f__Nostocaceae,g__Cuspidothrix_LMECYA_163,s__Cuspidothrix_issatschenkoi,ASV584
ASV585,ASV585,479030b5e469dc3f51cbb5e6f1750013,0.999999867,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__SAR11_clade,f__Clade_I,,,ASV585
ASV586,ASV586,47ac81632ecc5defbb35894d1e668744,0.714270451,d__Bacteria,p__Proteobacteria,,,,,,ASV586
ASV587,ASV587,47bb5c87092c0344876d8c617b0c2d08,0.707389455,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiales_Incertae_Sedis,g__uncultured,s__metagenome,ASV587
ASV588,ASV588,47e4a17a2b16cddb1c3202c0ef102023,0.999995061,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Corynebacteriales,f__Mycobacteriaceae,g__Mycobacterium,,ASV588
ASV589,ASV589,47f8b0b5d6cd276b53816f3bbd8f117c,0.766707238,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Puniceispirillales,f__uncultured,g__uncultured,s__uncultured_Alphaproteobacteria,ASV589
ASV590,ASV590,4812b0b1676c745b7a944364a02666d7,0.987057083,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Marine_Group_II,f__Marine_Group_II,g__Marine_Group_II,s__unidentified_archaeon,ASV590
ASV591,ASV591,4814ad7028f756458734d33844e058c5,0.901951003,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Marine_Group_II,f__Marine_Group_II,g__Marine_Group_II,s__unidentified_archaeon,ASV591
ASV592,ASV592,48215fa24e8dab0bc7957d3764bc6e68,0.925111652,d__Bacteria,p__Planctomycetota,c__OM190,o__OM190,f__OM190,g__OM190,s__unidentified_marine,ASV592
ASV593,ASV593,48a772e96b0da2353f3362bcb055227c,0.999999585,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Puniceispirillales,f__SAR116_clade,g__SAR116_clade,,ASV593
ASV594,ASV594,48c343f368b9658f6e976f187fa146a7,0.879904584,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Planctomycetales,f__Rubinisphaeraceae,g__uncultured,s__uncultured_bacterium,ASV594
ASV595,ASV595,499dd9d65db1b42fce389b07385a23da,0.999851274,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__NS5_marine_group,,ASV595
ASV596,ASV596,49acad50b27864a88bf12e354be6a922,0.999994885,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiales_Incertae_Sedis,g__uncultured,,ASV596
ASV597,ASV597,49ae6411e809c9682f4b3064355503fc,0.722203707,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Puniceispirillales,f__SAR116_clade,g__Candidatus_Puniceispirillum,s__uncultured_bacterium,ASV597
ASV598,ASV598,49c153a630effe2f1cdbff3868114ff1,0.988133305,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Marine_Group_II,f__Marine_Group_II,g__Marine_Group_II,s__marine_metagenome,ASV598
ASV599,ASV599,49dd27e81bcef0c49661c4c41959c89f,0.999587948,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,,ASV599
ASV600,ASV600,4a142e225c885b0860d262c8869924c6,0.903544701,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__MWH-UniP1_aquatic_group,g__MWH-UniP1_aquatic_group,s__bacterium_enrichment,ASV600
ASV601,ASV601,4a1ed77c30af61e58612ab641cebabd1,0.999999103,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudohongiellaceae,g__Pseudohongiella,,ASV601
ASV602,ASV602,4a25e3295e79cc4d70197db878cec2e0,0.997655994,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Marine_Group_II,f__Marine_Group_II,g__Marine_Group_II,s__metagenome,ASV602
ASV603,ASV603,4a683333da7dd5e5631a12ac687b4dc9,0.999999979,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Hyphomonadaceae,g__Hirschia,,ASV603
ASV604,ASV604,4ac594adc359fdc54f6d0440561b4fae,0.998039901,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Marine_Group_II,f__Marine_Group_II,g__Marine_Group_II,s__metagenome,ASV604
ASV605,ASV605,4afa2b31a4e7022ce04c864c664bf429,0.951947242,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Planctomycetales,f__Gimesiaceae,g__uncultured,s__uncultured_planctomycete,ASV605
ASV606,ASV606,4b2da30e48a7fd44581586435a749f00,0.944832739,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__Woesearchaeales,g__Woesearchaeales,s__uncultured_euryarchaeote,ASV606
ASV607,ASV607,4b417ccb3adf2c210cec9cd59245f540,0.997778207,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,,ASV607
ASV608,ASV608,4b6550ec1f18964c8110c45fdffcf0b4,0.960337168,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,,ASV608
ASV609,ASV609,4b6f6d13766b60be66cdb61d4647f9c9,0.99015545,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__SAR11_clade,f__Clade_II,g__Clade_II,,ASV609
ASV610,ASV610,4bbda046cca40e98975c65b0ec5475d3,0.927704458,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Methylophilaceae,g__uncultured,,ASV610
ASV611,ASV611,4bf47803f147f9c8bbd127ebb3dc0a5b,0.851115374,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,s__uncultured_marine,ASV611
ASV612,ASV612,4c05cdbea7ea3dbeaf36b901c904650c,0.998565234,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Halieaceae,g__OM60(NOR5)_clade,,ASV612
ASV613,ASV613,4c2245cef7a53c6481a48bec6f8dcf28,0.891735459,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Ascidiaceihabitans,,ASV613
ASV614,ASV614,4c91dc4072c6b255728978e2c34c82c3,0.922432029,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__uncultured,s__bacterium_enrichment,ASV614
ASV615,ASV615,4c9c80788068831174283e8c77fc7348,0.999999999,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,,,ASV615
ASV616,ASV616,4ccb414823e82faa2862069ac66ec46d,0.999998073,d__Bacteria,p__Bdellovibrionota,c__Bdellovibrionia,o__Bdellovibrionales,f__Bdellovibrionaceae,g__OM27_clade,,ASV616
ASV617,ASV617,4cfb3949f4126d767e462d878da350b7,0.73220947,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Parvibaculales,f__PS1_clade,g__PS1_clade,s__uncultured_Alphaproteobacteria,ASV617
ASV618,ASV618,4cff61247a37317e0ad0a506e8e11479,1,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Parvibaculales,f__OCS116_clade,g__OCS116_clade,,ASV618
ASV619,ASV619,4d1afc27b134a96e9f899fbb622f2f16,0.821533373,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Pirellulales,f__Pirellulaceae,g__Blastopirellula,s__bacterium_SH1-10,ASV619
ASV620,ASV620,4d394e17d62354c17ba31b2b57067fdc,0.999996546,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__NS5_marine_group,,ASV620
ASV621,ASV621,4d77a8dbc117813c975f7f116ce88e11,0.932069869,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Sarcina,,ASV621
ASV622,ASV622,4d975112521b48ed3f23c882d02724de,0.996938162,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__MWH-UniP1_aquatic_group,g__MWH-UniP1_aquatic_group,s__marine_metagenome,ASV622
ASV623,ASV623,4d9d563e278e1d8fd36c2acefa1c6ca3,0.807581868,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Phycisphaerales,f__Phycisphaeraceae,g__Phycisphaera,s__uncultured_organism,ASV623
ASV624,ASV624,4dad3f83b6448fc3ad7b1344ce37b12e,0.999251075,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Halieaceae,g__OM60(NOR5)_clade,,ASV624
ASV625,ASV625,4dc06f18b3d3e806457e3c2ee15a0d69,0.884138591,d__Bacteria,p__Planctomycetota,c__OM190,o__OM190,f__OM190,g__OM190,s__uncultured_bacterium,ASV625
ASV626,ASV626,4de889a84584ceff3975afe753795b56,0.726924999,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Limnobacter,s__uncultured_bacterium,ASV626
ASV627,ASV627,4e07d2ac152740547495098c614ac48f,0.999997582,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Corynebacteriales,f__Mycobacteriaceae,g__Mycobacterium,,ASV627
ASV628,ASV628,4e081c5b372518fa003ee65b7c751b9d,0.999997791,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,,,,,ASV628
ASV629,ASV629,4e1eec4f420080159195c7018c897711,0.991246067,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Alcanivoracaceae1,g__Alcanivorax,s__soda_lake,ASV629
ASV630,ASV630,4e765935c2249244db76c84cb2267412,0.998455813,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Dinghuibacter,,ASV630
ASV631,ASV631,4e7bc8796c6171c27f40b137fcacde55,0.88560199,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Dinghuibacter,s__uncultured_bacterium,ASV631
ASV632,ASV632,4ef423994140b16dde06d56c779cee4f,0.891878207,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Opitutales,f__Puniceicoccaceae,g__MB11C04_marine_group,s__uncultured_marine,ASV632
ASV633,ASV633,4efb6e995cad39d13929a3aea45b80a1,0.989243189,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,,ASV633
ASV634,ASV634,4f36172052176b6ca5fae96cbce6ca17,0.809326836,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__67-14,g__67-14,s__uncultured_bacterium,ASV634
ASV635,ASV635,4f4056f7be826b1320df6186996f86ea,0.751681589,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Actinomarinales,f__Actinomarinaceae,g__Candidatus_Actinomarina,s__uncultured_actinobacterium,ASV635
ASV636,ASV636,4f5599486653fa90752b3f4ac1bd88bd,0.998711369,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Methylophilaceae,g__Candidatus_Methylopumilus,,ASV636
ASV637,ASV637,4f5e5266aff90bb4247f6e9339b8068f,0.999993204,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiales_Incertae_Sedis,g__uncultured,,ASV637
ASV638,ASV638,4f6e611a77128a985c5a5dce9ce36522,0.967236064,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__uncultured,s__marine_metagenome,ASV638
ASV639,ASV639,4f7faf1376edd2349cf9f8ce6ed6a080,0.999972674,d__Bacteria,p__Bacteroidota,c__Rhodothermia,o__Rhodothermales,f__Rhodothermaceae,g__uncultured,,ASV639
ASV640,ASV640,4f9c44bcffd54c92da35a398419a86af,0.710269602,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,s__metagenome,ASV640
ASV641,ASV641,4fb1a5ac35e3ff015333eca64a358ae9,1,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,,,ASV641
ASV642,ASV642,500048c22000c7c765af9708dd07ce20,0.999981994,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Coxiellales,f__Coxiellaceae,g__Coxiella,,ASV642
ASV643,ASV643,5037c66f8c7c3bcb02257a87cad3ae28,0.755309552,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Puniceispirillales,f__SAR116_clade,g__SAR116_clade,s__uncultured_bacterium,ASV643
ASV644,ASV644,506caf9bc252e9bf19e4bfb94e3e8562,0.741438995,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Synechococcus_CC9902,,ASV644
ASV645,ASV645,509f979c14686466866fb6c00d543bff,0.999995252,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Phycisphaerales,f__Phycisphaeraceae,g__CL500-3,s__uncultured_bacterium,ASV645
ASV646,ASV646,50cced390a2cd77f5a6b419dc4219632,0.999937606,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Paludibacteraceae,g__Paludibacter,,ASV646
ASV647,ASV647,50cd81e902cbe3770f054f080c05cba0,0.83104822,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__uncultured,s__uncultured_Bacteroidetes,ASV647
ASV648,ASV648,50f8b1da10711c0b4f39ea16b522a026,0.821321377,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,s__uncultured_Cyanobium,ASV648
ASV649,ASV649,511c7c74129d7282e96d490e01bb8326,0.999135185,d__Bacteria,p__Planctomycetota,c__OM190,o__OM190,f__OM190,g__OM190,s__marine_metagenome,ASV649
ASV650,ASV650,512f9cbe258ea8fe4208dae32c0024f4,0.714328623,d__Bacteria,p__Bacteroidota,c__Rhodothermia,o__Rhodothermales,f__Rhodothermaceae,g__uncultured,s__uncultured_bacterium,ASV650
ASV651,ASV651,5160d4a7fcebb9b3c82ccc098c70f5f4,0.975263455,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,,,ASV651
ASV652,ASV652,51ca5c2351b9db18da41b7c94b9d1eed,0.989043925,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,,ASV652
ASV653,ASV653,51df57d75586880cb0096894340524da,0.99973403,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Sediminibacterium,,ASV653
ASV654,ASV654,51f4e36a2038e2b50cd795c14d4952ed,0.928537798,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__uncultured,,ASV654
ASV655,ASV655,5200c89a259142fa11a32fcf39e4abe5,0.979918476,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__SAR11_clade,f__Clade_I,g__Clade_Ia,,ASV655
ASV656,ASV656,52116b561bf83b433c155aceadb2c979,0.999999413,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,,ASV656
ASV657,ASV657,522b88c266fed9633beb273f586e950f,0.833542467,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,s__metagenome,ASV657
ASV658,ASV658,5270b286632d953753bb0c81005b70cb,0.863136336,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Marine_Group_II,f__Marine_Group_II,g__Marine_Group_II,s__uncultured_bacterium,ASV658
ASV659,ASV659,52a0f08076e375bbe34c3b68da867ac5,0.792489259,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Formosa,s__uncultured_Flavobacteriales,ASV659
ASV660,ASV660,52a2e84a9dec6b299a17b1db633750ab,0.708438163,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Marine_Group_II,f__Marine_Group_II,g__Marine_Group_II,s__uncultured_archaeon,ASV660
ASV661,ASV661,52bc86453bd9dbc21f3e9e3ac87bd0bd,0.999458473,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Phycisphaerales,f__Phycisphaeraceae,,,ASV661
ASV662,ASV662,52f8a524321e114107ec8fdfe33b0931,0.760610763,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Limnobacter,s__uncultured_bacterium,ASV662
ASV663,ASV663,5334c9858dec9d64986cf153b9200860,0.89328643,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Puniceispirillales,f__SAR116_clade,g__SAR116_clade,,ASV663
ASV664,ASV664,535807f1191e4858ae7a71a060027736,0.999998887,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,,,ASV664
ASV665,ASV665,535a4a1c2470915f5f674707e03b5362,0.853006041,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Aquibacter,s__uncultured_bacterium,ASV665
ASV666,ASV666,53740479806eb551c5c23ced28f14a17,0.997096897,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__MWH-UniP1_aquatic_group,g__MWH-UniP1_aquatic_group,s__marine_metagenome,ASV666
ASV667,ASV667,53b0e17125e43c8a66e9fd6022e152fe,0.889712513,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Frankiales,f__Sporichthyaceae,g__hgcI_clade,s__bacterium_enrichment,ASV667
ASV668,ASV668,53b2b6807c46596bcfb57468fc9ed021,0.936492904,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__SAR11_clade,f__Clade_II,g__Clade_II,,ASV668
ASV669,ASV669,53eb25fb35c2688c5f35e892c89f3044,0.9993143,d__Bacteria,p__Desulfobacterota,c__Desulfuromonadia,o__Bradymonadales,f__Bradymonadales,g__Bradymonadales,s__uncultured_delta,ASV669
ASV670,ASV670,540c1f6b5e955109d3a85ccd65fe6479,0.999777068,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__NS9_marine_group,g__NS9_marine_group,,ASV670
ASV671,ASV671,542eba729b9ee0136b2ac7f9e61b8a45,0.999999999,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,,,ASV671
ASV672,ASV672,5435ca70b6481188bd066329d9c1c398,0.906664558,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Marine_Group_II,f__Marine_Group_II,g__Marine_Group_II,s__uncultured_bacterium,ASV672
ASV673,ASV673,543bf3dd23ae424584f2ce31636415e4,0.999505831,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,,ASV673
ASV674,ASV674,545b3a590ef3b79666a3a1c22d0dc829,0.958592878,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Gaiellales,f__uncultured,g__uncultured,s__metagenome,ASV674
ASV675,ASV675,54ca9c1fac9f4c5ec03fafdf4bee40e8,0.729958992,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Sediminibacterium,s__marine_metagenome,ASV675
ASV676,ASV676,54d2064422220b8da7eec2d334ae5e94,0.991616158,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Ga0077536,f__Ga0077536,g__Ga0077536,s__uncultured_bacterium,ASV676
ASV677,ASV677,54dc72d5a784bc1c7251b92609cf9cc8,0.998679695,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__NS9_marine_group,g__NS9_marine_group,s__uncultured_Bacteroidetes,ASV677
ASV678,ASV678,54de2e9c857f0f5ee5f70ea0d06ad2c6,1,d__Bacteria,p__Bacteroidota,c__Rhodothermia,o__Balneolales,f__Balneolaceae,,,ASV678
ASV679,ASV679,5529ef3dd7b18bd916e247ffae7f22d3,0.998859961,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Sediminibacterium,,ASV679
ASV680,ASV680,555e64d9eafe8d2da7f2e6526704cbb8,0.999582492,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Crocinitomicaceae,g__Fluviicola,,ASV680
ASV681,ASV681,556764e96c03f0c6ffc61500a8d0f417,0.766426559,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__PeM15,f__PeM15,g__PeM15,s__uncultured_Actinomycetales,ASV681
ASV682,ASV682,55bab2db71c42394b9f2d9c4c848b216,0.754529898,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__S25-593,g__S25-593,s__metagenome,ASV682
ASV683,ASV683,55bc02639d67ef93dea6974af251c247,0.991436718,d__Bacteria,p__Myxococcota,c__Polyangia,o__mle1-27,f__mle1-27,g__mle1-27,s__metagenome,ASV683
ASV684,ASV684,55c14739c530eb856bc0046bb07d414c,0.791535833,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__S25-593,g__S25-593,s__metagenome,ASV684
ASV685,ASV685,55c2238843c6d8e0cbe5a716c33853ab,0.747817455,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Frankiales,f__Sporichthyaceae,g__hgcI_clade,s__uncultured_bacterium,ASV685
ASV686,ASV686,56223b6f3fb2c78c0ab845c59578a27d,1,d__Bacteria,,,,,,,ASV686
ASV687,ASV687,5639127aeaf817d243b4d2b6e0da9b1f,0.869054135,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,,ASV687
ASV688,ASV688,566dcc9aecbfe8cf399d25e867982032,0.930270924,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__NS9_marine_group,g__NS9_marine_group,s__uncultured_Flavobacteriales,ASV688
ASV689,ASV689,56851fbcbba2344e57d30e253dad162f,0.999999057,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudohongiellaceae,g__Pseudohongiella,,ASV689
ASV690,ASV690,5687ed6be4860477840a05fa8ebeaaa9,0.887463882,d__Bacteria,p__Planctomycetota,c__OM190,o__OM190,f__OM190,g__OM190,s__uncultured_bacterium,ASV690
ASV691,ASV691,56b73e760ca35ea0215f22848a9f8b37,0.999941302,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__NS9_marine_group,g__NS9_marine_group,,ASV691
ASV692,ASV692,56b852275a9ad9c9a4c7c7eac886f0ad,0.999999938,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,,,ASV692
ASV693,ASV693,56c38e0bb995517cce6d91151a4e3594,0.994267032,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Alcanivoracaceae1,g__Alcanivorax,s__soda_lake,ASV693
ASV694,ASV694,56dc24f9b69913f48e23df4de226d0f4,0.81977267,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Frankiales,f__Sporichthyaceae,g__hgcI_clade,s__Candidatus_Nanopelagicus,ASV694
ASV695,ASV695,56e17161d471bbad23a284fd18396d0c,0.94593623,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Marine_Group_II,f__Marine_Group_II,g__Marine_Group_II,s__seawater_metagenome,ASV695
ASV696,ASV696,56fae914bd3433da9612f03051afa5c2,0.999999843,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__SAR11_clade,f__Clade_I,,,ASV696
ASV697,ASV697,56fd67e45779c608e227a70fe3216583,0.999701175,d__Bacteria,p__SAR324_clade(Marine_group_B),c__SAR324_clade(Marine_group_B),o__SAR324_clade(Marine_group_B),f__SAR324_clade(Marine_group_B),g__SAR324_clade(Marine_group_B),,ASV697
ASV698,ASV698,573ea61198e2ba5e4b056ea877b13a30,0.819576898,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Cryomorphaceae,g__uncultured,s__uncultured_organism,ASV698
ASV699,ASV699,5740b8cf3c42e8ac1322f86119523de8,0.998789735,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Pirellulales,f__Pirellulaceae,g__uncultured,s__marine_metagenome,ASV699
ASV700,ASV700,578e568db020d7d9427acbdd462d2a49,0.999997631,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__NS5_marine_group,,ASV700
